00a00100 init
00a017c8 c_runtime_init
00a058d8 copy_calrom_to_calbase
00a05908 select_calbase_addr
00a09e30 adc_sample
00a0a17c get_o2_postcat_voltage
00a0c270 ign_set_trigger
00a0c368 inj_set_trigger
00a0f2ec vvt_get_group_a_position
00a10714 setup_post_init
00a111fc get_o2_sensor_status
00a115dc flash_erase_sector
00a11850 flash_program
00a119bc flash_commit
00a11dac learned_torque_init_from_cal
00a11f08 learned_main_save_to_flash
00a131b8 dtc_get_event_status_ptr
00a143dc cooling_pwm_ch47
00a15478 CRC16
00a154d8 CRC16_2
00a18b34 torque_to_load_target
00a1d804 engine_load_calc
00a1e9c4 vvt_control
00a26388 throttle_servo_pid
00a267dc idle_throttle_control
00a29dbc fuel_trim_cat_monitor
00a2fd7c idle_speed_governor
00a3272c fuel_limited_airflow_max
00a32840 inj_base_time_calc
00a32a5c get_commanded_lambda
00a32a84 get_commanded_lambda_bank
00a32ac4 get_o2_lambda_target
00a38674 output_circuit_dtc_monitor
00a43b34 oil_pressure_monitor
00a45848 task_seq_checkpoint
00a45868 main_task_1000hz
00a45910 main_task_500hz_0
00a45b68 main_task_200hz_1
00a45be0 main_task_200hz_2
00a45c64 main_task_200hz_3
00a45ce8 main_task_200hz_4
00a45e28 main_task_100hz_1
00a45ea4 main_task_100hz_2
00a4604c main_task_100hz_6
00a461e0 main_task_50hz_0
00a46260 main_task_50hz_1
00a462d8 main_task_50hz_1
00a464a4 main_task_10hz_0
00a46620 main_task_10hz_1
00a466b0 main_task_10hz_2
00a467a0 main_task_10hz_4
00a48d2c lookup2d_interpolated_u16
00a48db0 lookup2d_interpolated_u16
00a48e7c lookup1d_interpolated_u8
00a48ee4 lookup3d_interp_u8
00a491a4 lookup3d_interp_u16
00a4988c lookup1d_selfaxis_u8
00a49908 lookup1d_selfaxis_u16
00a49a30 lookup1d_selfaxis_s16
00a49d84 lookup3d_interp_s8
00a4b9fc o2_heater_control_struct_init
00a4ba20 o2_heater_pwm_init?
00a4bb7c o2_heater_pid
00a4c298 o2_heater_control
00a4d064 get_o2_postcat_trim
00a4e7e4 get_ambient_air_temp
00a66140 obd_ii_mode0a_permanent_dtcs
00a66474 obd_ii_mode02_freeze_frame
00a6671c obd_ii_mode03_stored_dtcs
00a6680c obd_ii_mode04_clear_dtcs
00a668bc obd_ii_mode06_monitor_results
00a66ac8 obd_ii_mode07_pending_dtcs
00a67db0 elapsed_max_update
00a68124 obd_ii_service_dispatch
00a69854 emios_pwm_channel_init
00a69a80 emios_pwm_set_duty
00a69d38 eTPU_chan_param_addr
00a69e48 eTPU_dataram_alloc
00a69efc eTPU_write_32bit
00a6a8cc emios_pwm_channel_init
00a6aaf8 emios_pwm_set_duty
00a6af54 eTPU_chan_param_addr
00a6b064 eTPU_dataram_alloc
00a6d624 knock_sensor_range_select
00a6d780 knock_window_setup
00a6dbb8 knock_octane_learn
00a6dde0 knock_condition_eval
00a6df54 knock_retard_update
00a6fb70 learned_correction_apply
00a6fc8c learned_correction_restore_from_cal
00a6fe6c torque_limiter
00a724f4 COD_unknown
00a72620 learned_small_save_to_flash
00a726b0 learned_small_mark_changed
00a726d0 learned_small_write_value
00a72768 learned_small_accumulate
00a72808 learned_small_clear_dispatch
00a72c78 learned_small_store_byte
00a73a30 engine_run_relay_set
00a73a88 engine_run_begin
00a73b10 engine_run_confirm
00a73b68 engine_stop
00a73ba0 engine_run_state_machine
00a74ec0 dtc_iterate_stored
00a74ff0 dtc_count_stored
00a751ec dtc_report_filter_setup
00a7eda0 get_time_scaled
00a84f9c dtc_find_event_by_code
00a85b10 dtc_event_maturation
00a862ec dtc_subsystem_init
00a8671c dtc_set_status?
00a91f70 ign_component_calc
00a9222c ign_comp_lookup_3tbl
00a92318 ign_advance_maps_lookup
00a924b4 ign_get_base_timing
00a9251c ign_comp_coolant
00a92a24 ign_timing_integrator
00a92c58 ign_advance_ramp
00a92d0c ign_idle_advance_lookup
00a93ad8 get_ignition_advance
00a944fc chargecooler_temp_monitor
00ab0530 ign_base_map_lookup
00ab0e22 memset
00ab0e3c strncmp
