00a006e4 service_watchdog
00a006f8 get_timebase_lo
00a279b8 get_tps_primary
00a279c8 get_tps_secondary
00a47f4c cyl_firing_order_map_a
00a47f64 cyl_firing_order_map_b
00a4a7d4 libc_min
00a4a7e4 libc_max
00a6e420 get_knock_retard_A
00a6e440 get_knock_retard_B
00a6e460 get_knock_retard_cyl_A
00a6e484 get_knock_retard_cyl_B
00a7ef6c dtc_get_event_record_ptr
00a7f03c dtc_get_template_index_ptr
00a86be4 get_actual_engine_torque_pct_A
00a86c50 get_actual_engine_torque_pct_B
00a46350 main_task_20hz_0
00a7f300 dtc_queue_add
