# ADC sensor variables (raw ADC values from adc_sample)
40003348 sensor_adc_ch0
40003358 sensor_adc_ch1
40003354 sensor_adc_ch2
40003374 sensor_adc_ch3
40003344 sensor_adc_ch4
40003386 sensor_adc_ch5
40003356 sensor_adc_ch6
4000337a sensor_adc_ch7
40003382 sensor_adc_ch8
40003352 sensor_adc_ch9
4000334a sensor_adc_ch10
40003370 sensor_adc_ch11
40003368 sensor_adc_ch12
40003366 sensor_adc_ch13
40003376 sensor_adc_ch14
4000335c sensor_adc_ch15
4000336e sensor_adc_ch16
40003364 sensor_adc_ch17
40003362 sensor_adc_ch18
40003360 sensor_adc_ch19
4000334c sensor_adc_ch20
4000335e sensor_adc_ch21
4000334e sensor_adc_ch22
4000336a sensor_adc_ch23
40003350 sensor_adc_ch24
4000336c sensor_adc_ch25
40003384 sensor_adc_ch26
4000335a sensor_adc_ch27
40003346 sensor_adc_ch28
40003380 sensor_adc_ch29
4000337e sensor_adc_ch30
400033ac sensor_adc_ch31
4000338a sensor_adc_ch32
40003392 sensor_adc_ch33
40003390 sensor_adc_ch34
40003394 sensor_adc_ch35
400033a4 sensor_adc_ch36
400033aa sensor_adc_ch37
400033b0 sensor_adc_ch38
4000339e sensor_adc_ch39
40003396 sensor_adc_ch40
4000339c sensor_adc_ch41
40003388 sensor_adc_ch42
400033a2 sensor_adc_ch43
4000338c sensor_adc_ch44
40003378 sensor_adc_ch45
400033a6 sensor_adc_ch46
4000338e sensor_adc_ch47
400033b2 sensor_adc_ch48
400033b8 sensor_adc_ch49
400033b4 sensor_adc_ch50
400033b6 sensor_adc_ch51
400033bc sensor_adc_ch52
400033ba sensor_adc_ch53
40003398 sensor_adc_ch54
400033ae sensor_adc_ch55

# Sensor output variables (engineering units)
4000337c sensor_tps_raw
40003756 sensor_ect_temp
4000374a sensor_iat_or_load
400033f6 sensor_engine_speed
400033e6 sensor_engine_load
4000339a sensor_maf_raw
400033f4 sensor_map_raw

# Sensor conversion intermediates
400065e4 sensor_ect_raw_filtered
400065dc sensor_iat_raw_filtered
40003760 sensor_ect_cal_factor
4000375e sensor_iat_cal_factor
