"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"CAL_base","40008654","Data Label","Global","User Defined","142","3"
"CAL_ecu_data_base","40008674","Data Label","Global","User Defined","1","0"
"CAL_unknown_rate_limit1","40008676","Data Label","Global","User Defined","1","1"
"CAL_ecu_ips_mesg_unknown","4000867b","Data Label","Global","User Defined","3","0"
"CAL_evap_purge_pressure_scaling","40008680","Data Label","Global","User Defined","2","0"
"CAL_evap_purge_pressure_offset","40008682","Data Label","Global","User Defined","2","0"
"CAL_sensor_manifold_pressure_sensor_scaling","40008684","Data Label","Global","User Defined","3","0"
"CAL_sensor_manifold_pressure_sensor_offset","40008686","Data Label","Global","User Defined","3","0"
"CAL_cooling_fan_engine_bay_airtemp_enable","4000868b","Data Label","Global","User Defined","1","0"
"CAL_cooling_fan_startup_time","4000868c","Data Label","Global","User Defined","2","0"
"CAL_cooling_fan_hotstart_temp","4000868e","Data Label","Global","User Defined","1","0"
"CAL_cooling_fan_hotstart_dutycycle","4000868f","Data Label","Global","User Defined","1","0"
"CAL_cooling_fan_engine_bay_radfan_threshold_enable","40008691","Data Label","Global","User Defined","1","0"
"CAL_cooling_fan_engine_bay_radfan_threshold_disable","40008692","Data Label","Global","User Defined","1","0"
"CAL_fuel_level_debounce_window_???","40008693","Data Label","Global","User Defined","2","0"
"CAL_fuel_level_debounce_window2???","40008695","Data Label","Global","User Defined","2","0"
"CAL_tc_unknown_tire_circumference","4000869c","Data Label","Global","User Defined","2","0"
"CAL_tc_abs_ring_teeth_count","4000869e","Data Label","Global","User Defined","2","0"
"CAL_ign_comp_coolant_engine_stopped_min","400086a1","Data Label","Global","User Defined","1","0"
"CAL_ign_comp_coolant_engine_stopped_min","400086a2","Data Label","Global","User Defined","2","0"
"CAL_injtip_in_adj_gears","400086a5","Data Label","Global","User Defined","2","5"
"CAL_knock_baseline_min_clamp","400086ac","Data Label","Global","User Defined","2","0"
"CAL_ign_trim_per_cyl","400086ae","Data Label","Global","User Defined","4","5"
"CAL_ac_compressor_max_coolant_temp_max","400086b4","Data Label","Global","User Defined","1","0"
"CAL_ac_compressor_max_coolant_temp_min","400086b5","Data Label","Global","User Defined","1","0"
"CAL_ac_compressor_max_throttle","400086b6","Data Label","Global","User Defined","1","0"
"CAL_inj_pulsewidth_scaling_unknown","400086b9","Data Label","Global","User Defined","2","0"
"CAL_fuel_pressure_max","400086bc","Data Label","Global","User Defined","2","0"
"CAL_fuel_pressure_target_max","400086bd","Data Label","Global","User Defined","2","0"
"CAL_fuel_pressure_target_min","400086be","Data Label","Global","User Defined","2","0"
"CAL_cooling_fan_speed_disable_speed","400086bf","Data Label","Global","User Defined","2","0"
"CAL_ac_compressor_engine_speed_max","400086c8","Data Label","Global","User Defined","1","0"
