"Name","Location","Type","Data Type","EOL Comment"
"segment_data","00040a28","Data Label","struct_segment_data[15]","Segment data (structure; 15-element array)."
"segment_bss","00040adc","Data Label","struct_segment_bss[4]","Segment bss (structure; 4-element array)."
"CAL_base","40008654","Data Label","char[32]","T6-EVORA--F430-V000E#ROW#Lotus#Evora GT430#2019#MT#64kb#MPC5534#CRP#0x59D4#LOTUS EVORA GT430 MAN MY19 ROW"
"fca_buffer","fffc0080","Data Label","flexcan_msg_buffer[64]","Fca buffer (structure; 64-element array)."
"ecu_prog_version","000ce958","Data Label","char[32]","ECU prog version (32-element array)."
"CAL_prog_version","4000e028","Data Label","char[32]","Calibration: prog version (32-element array)."
"obd_ii_response","40007dc0","Data Label","byte[8]","OBD-II: response (8-element array)."
"obd_ii_mode22_supported_pids_0_20","40001f40","Data Label","byte[4]","OBD-II: mode22 supported pids 0 20 (4-element array)."
"obd_ii_system_leak_status","40001e72","Data Label","undefined1",""
"obd_ii_idle_air_output","40001dbc","Data Label","u16_flow_100mg/s","OBD-II: idle air output (mg/s = val*100)."
"ign_per_cyl_enable???","40001800","Data Label","bool[6]","Ignition per cyl enable (boolean flag; 6-element array)."
"ign_per_cyl_enable2???","40001944","Data Label","bool[6]","Ignition per cyl enable2 (boolean flag; 6-element array)."
"engine_speed_8bit","40001769","Data Label","u8_rspeed_125/4+500rpm","Engine speed 3 (RPM = val*125/4+500)."
"sensor_adc_ecu_voltage","40001854","Data Label","u16_voltage_18/1023v","Sensor ADC ECU voltage (V = val*18/1023)."
"ign_dwell_time","4000190a","Data Label","u16_time_us","Ignition dwell time (µs)."
"CAL_ecu_data_base","40008674","Data Label","u16_factor_1/1023","Calibration: ECU data base (val/1023)."
"CAL_tpssmooth_rate_closing_clamp_thresholds","40008676","Data Label","u16_factor_1/1023[2]","Calibration: tpssmooth rate closing clamp thresholds (val/1023; 2-element array)."
"CAL_idle_clutch_antistall_speed_threshold","4000867a","Data Label","u8_speed_1/10kph","Calibration: idle clutch antistall speed threshold (km/h = val/10)."
"CAL_ecu_ips_calibration_version","4000867b","Data Label","uint8_t","Calibration: ECU IPS calibration version."
"CAL_sensor_evap_purge_pressure_scaling","40008680","Data Label","uint16_t","Calibration: sensor evaporative purge pressure scaling."
"CAL_evap_purge_pressure_offset","40008682","Data Label","uint16_t","Calibration: evaporative purge pressure offset."
"CAL_sensor_manifold_pressure_sensor_scaling","40008684","Data Label","uint16_t","Calibration: sensor manifold pressure sensor scaling."
"CAL_sensor_manifold_pressure_sensor_offset","40008686","Data Label","u16_pressure_mbar","Calibration: sensor manifold pressure sensor offset (mbar)."
"CAL_cooling_fan_engine_bay_airtemp_enable","4000868b","Data Label","u8_temp_5/8-40c","Calibration: cooling fan engine bay airtemp enable (°C = val*5/8−40)."
"CAL_cooling_fan_startup_time","4000868c","Data Label","u16_time_5ms","Calibration: cooling fan startup time (ms = val*5)."
"CAL_cooling_fan_hotstart_temp","4000868e","Data Label","u8_temp_5/8-40c","Calibration: cooling fan hotstart temperature (°C = val*5/8−40)."
"CAL_cooling_fan_hotstart_dutycycle","4000868f","Data Label","u8_factor_1/255","Calibration: cooling fan hotstart dutycycle (val/255)."
"CAL_cac_pump_diag_dutycycle_min","40008690","Data Label","u8_factor_1/255","Calibration: charge-air-cooler pump diag dutycycle minimum (val/255)."
"CAL_cooling_fan_engine_bay_radfan_threshold_enable","40008691","Data Label","u8_factor_1/255","Calibration: cooling fan engine bay radfan threshold enable (val/255)."
"CAL_cooling_fan_engine_bay_radfan_threshold_disable","40008692","Data Label","u8_factor_1/255","Calibration: cooling fan engine bay radfan threshold disable (val/255)."
"CAL_fuel_level_debounce_window_low","40008693","Data Label","u8_volume_1/10gallon","Calibration: fuel level debounce window low (gal = val/10)."
"CAL_fuel_level_debounce_window_high???","40008695","Data Label","u16_volume_1/10gallon","Calibration: fuel level debounce window high (gal = val/10)."
"CAL_tpssmooth_rate_calc_window_size","4000869b","Data Label","uint8_t","Calibration: tpssmooth rate calculated window size."
"CAL_ecu_unknown_tire_circumference","4000869c","Data Label","uint16_t","Calibration: ECU tire circumference."
"CAL_ecu_abs_ring_teeth_count","4000869e","Data Label","u8_count","Calibration: ECU ABS ring teeth count."
"CAL_ign_comp_coolant_engine_stopped_min","400086a1","Data Label","u8_temp_5/8-40c","Calibration: ignition compensation coolant engine stopped minimum (°C = val*5/8−40)."
"CAL_ign_comp_coolant_engine_stopped_min","400086a2","Data Label","u8_temp_5/8-40c","Calibration: ignition compensation coolant engine stopped minimum (°C = val*5/8−40)."
"CAL_injtip_in_adj_gears","400086a5","Data Label","uint8_t[6]","Calibration: injector tip-in in adj gears (6-element array)."
"CAL_knock_baseline_min_clamp","400086ac","Data Label","uint8_t","Calibration: knock baseline minimum clamp."
"CAL_ign_trim_per_cyl","400086ae","Data Label","u8_angle_1/4deg[6]","Calibration: ignition trim per cyl (° = val/4; 6-element array)."
"CAL_ac_compressor_max_coolant_temp_max","400086b4","Data Label","u8_factor_1/255","Calibration: A/C compressor maximum coolant temperature maximum (val/255)."
"CAL_ac_compressor_max_coolant_temp_min","400086b5","Data Label","u8_factor_1/255","Calibration: A/C compressor maximum coolant temperature minimum (val/255)."
"CAL_ac_compressor_max_throttle","400086b6","Data Label","u8_factor_1/255","Calibration: A/C compressor maximum throttle (val/255)."
"CAL_inj_max_duty_cycle_limit","400086b9","Data Label","u8_factor_1/255","Calibration: injector maximum duty cycle limit (val/255)."
"CAL_fuel_pressure_max","400086bc","Data Label","u8_pressure_50mbar","Calibration: fuel pressure maximum (mbar = val*50)."
"CAL_fuel_pressure_target_max","400086bd","Data Label","u8_pressure_50mbar","Calibration: fuel pressure target maximum (mbar = val*50)."
