"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"20000","00010000","Data Label","Global","User Defined","0","0"
"_ign_comp_roughness_detection","40001a82","Data Label","Global","User Defined","14","0"
"_tmp_val1","40001a4e","Data Label","Global","User Defined","5","0"
"_tmp_val2","40001a50","Data Label","Global","User Defined","1","0"
"abs_a8_flag2","40002703","Data Label","Global","User Defined","16","0"
"abs_a8_flag2_previous_state","40001a3d","Data Label","Global","User Defined","2","0"
"abs_active_status","40002706","Data Label","Global","User Defined","6","0"
"abs_diff_le_u16","000c7070","Function","Global","User Defined","3","0"
"abs_esp_flags","40002856","Data Label","Global","User Defined","54","0"
"abs_present","40002968","Data Label","Global","User Defined","2","0"
"abs_unknown3","400029dc","Data Label","Global","User Defined","2","0"
"abs_unused_field1","4000271e","Data Label","Global","User Defined","1","1"
"abs_unused_field2","400029dd","Data Label","Global","User Defined","1","0"
"ac_10hz_timer","40001770","Data Label","Global","User Defined","3","0"
"ac_200hz","000c47e4","Function","Global","User Defined","2","0"
"ac_compressor","000c4688","Function","Global","User Defined","1","0"
"ac_compressor_commaded","400028d6","Data Label","Global","User Defined","6","0"
"ac_compressor_criteria_check","000c4010","Function","Global","User Defined","2","0"
"ac_compressor_fault_check","000c54bc","Function","Global","User Defined","2","0"
"ac_compressor_flags","400028a6","Data Label","Global","User Defined","42","0"
"ac_compressor_ign_compensation_active","400028ae","Data Label","Global","User Defined","23","0"
"ac_compressor_state_machine","000c4498","Function","Global","User Defined","1","0"
"ac_cooling_fan_required","400028ad","Data Label","Global","User Defined","2","0"
"ac_evap_sensor_process","000c541c","Function","Global","User Defined","1","0"
"ac_evap_temp","400019a8","Data Label","Global","User Defined","11","0"
"ac_evap_temp_raw","40001a18","Data Label","Global","User Defined","4","0"
"ac_evap_temp_unknown","400019b0","Data Label","Global","User Defined","3","0"
"ac_evap_temp_voltage","400019a2","Data Label","Global","User Defined","4","0"
"ac_load2_???","400028a4","Data Label","Global","User Defined","4","0"
"ac_load_???","400028da","Data Label","Global","User Defined","14","0"
"accel_enrichment???","40001cc4","Data Label","Global","User Defined","3","0"
"accel_intensity_carspeed_last","4000210c","Data Label","Global","User Defined","5","0"
"accel_intensity_long","4000429c","Data Label","Global","User Defined","6","0"
"accel_intensity_out_long","4000211c","Data Label","Global","User Defined","5","0"
"accel_intensity_out_short","40002120","Data Label","Global","User Defined","5","0"
"accel_intensity_short","40004298","Data Label","Global","User Defined","6","0"
"accel_intensity_timer_a","400042a0","Data Label","Global","User Defined","6","0"
"accel_intensity_timer_b","400042a4","Data Label","Global","User Defined","6","0"
"accel_pedal_200hz","00099910","Function","Global","User Defined","2","0"
"accel_pedal_diag_state","40002931","Data Label","Global","User Defined","10","0"
"accel_pedal_e_scale_voltage","0009abac","Function","Global","User Defined","1","0"
"accel_pedal_lfb_filtered","400026aa","Data Label","Global","User Defined","5","0"
"accel_pedal_mode","400016a0","Data Label","Global","User Defined","14","0"
"accel_pedal_pos","400026c0","Data Label","Global","User Defined","11","0"
"accel_pedal_pos_d_clipped","400081cc","Data Label","Global","User Defined","8","8"
"accel_pedal_pos_e_clipped","400081e0","Data Label","Global","User Defined","8","2"
"accel_pedal_pos_latched","400022d0","Data Label","Global","User Defined","22","0"
"accel_pedal_position_from_voltage","000c6760","Function","Global","User Defined","2","0"
"accel_pedal_requested","400026be","Data Label","Global","User Defined","4","0"
"accel_pedal_timer_unknown","400022fe","Data Label","Global","User Defined","6","0"
"accel_pedal_timer_unknown1_is_expired","400022ff","Data Label","Global","User Defined","6","0"
"accel_pedal_track_d_selected","40002933","Data Label","Global","User Defined","9","0"
"accel_pedal_zero_trim_timer","400016aa","Data Label","Global","User Defined","3","0"
"acceleration_intensity_estimate","0008cdc4","Function","Global","User Defined","1","0"
"accelerator_pedal_pos_d","400022c8","Data Label","Global","User Defined","4","0"
"accelerator_pedal_pos_e","400022ca","Data Label","Global","User Defined","4","0"
"accessory_unknown","c3f9067d","Data Label","Global","User Defined","8","20"
"accumulated_fuel_used_estimate","0008ccfc","Function","Global","User Defined","1","0"
"adc37_threshold","40008208","Data Label","Global","User Defined","4","1"
"adc_avg","00048c28","Function","Global","User Defined","2","0"
"adc_buffer_copy_200hz","0004c278","Function","Global","User Defined","1","0"
"adc_convert","0004e6e8","Function","Global","User Defined","2","0"
"adc_dma_dest","40002c10","Data Label","Global","User Defined","4","37"
"adc_maf_filter","00045158","Function","Global","User Defined","1","0"
"adc_sample","0004dcb4","Function","Global","User Defined","1","0"
"adc_sample_buffer_primary","40002bb4","Data Label","Global","User Defined","1","1"
"adc_sample_buffer_secondary","40002b44","Data Label","Global","User Defined","2","0"
"adc_smooth_lowpass","00042588","Function","Global","User Defined","3","0"
"adc_smooth_state_init","00042648","Function","Global","User Defined","3","0"
"adc_smooth_state_init_tps","000af160","Function","Global","User Defined","1","0"
"afr_commanded","40001ae6","Data Label","Global","User Defined","8","0"
"afr_delta_diag","40001ee8","Data Label","Global","User Defined","2","0"
"afr_diag_current","40001eea","Data Label","Global","User Defined","2","0"
"afr_diag_last","40001eec","Data Label","Global","User Defined","2","0"
"afr_enrichment_from_ign_retard","40001b09","Data Label","Global","User Defined","5","0"
"afr_target","40001b46","Data Label","Global","User Defined","1","0"
"afr_target2","40001ae4","Data Label","Global","User Defined","14","0"
